seq_id,generation_time_sec,avg_token_latency_ms,throughput_tokens_per_sec,sequence_length,self_perplexity,posthoc_perplexity,memory_usage_mb,seed,temperature,top_k,top_p,batch_size,target_aa_length
seq_01296,3.1526,6.182,161.77,510,4.7379,14.9361,745.82,42,1,0,1,1,510
seq_01297,3.1369,6.151,162.58,510,2.9703,11.7227,745.82,42,1,0,1,1,510
seq_01298,3.151,6.178,161.85,510,2.8332,13.6361,745.82,42,1,0,1,1,510
seq_01299,3.1504,6.177,161.88,510,3.4838,11.7724,745.82,42,1,0,1,1,510
seq_01300,3.1505,6.177,161.88,510,2.8572,11.1765,745.82,42,1,0,1,1,510
seq_01301,3.1436,6.164,162.24,510,3.4895,14.3296,745.82,42,1,0,1,1,510
seq_01302,3.1483,6.173,161.99,510,2.516,8.6797,745.82,42,1,0,1,1,510
seq_01303,3.1535,6.183,161.73,510,2.8203,15.3834,745.82,42,1,0,1,1,510
seq_01304,3.1585,6.193,161.47,510,3.0519,13.0402,745.82,42,1,0,1,1,510
seq_01305,3.1482,6.173,162.0,510,3.5587,10.6745,745.82,42,1,0,1,1,510
seq_01306,3.1441,6.165,162.21,510,5.7789,13.7994,745.82,42,1,0,1,1,510
seq_01307,3.1504,6.177,161.88,510,2.9323,13.4182,745.82,42,1,0,1,1,510
seq_01308,3.1501,6.177,161.58,509,3.6413,12.0581,745.82,42,1,0,1,1,510
seq_01309,3.1455,6.168,161.82,509,12.0512,25.3219,745.82,42,1,0,1,1,510
seq_01310,3.1441,6.165,162.21,510,3.0409,11.0937,745.82,42,1,0,1,1,510
seq_01311,3.152,6.18,161.8,510,2.6613,11.7948,745.82,42,1,0,1,1,510
seq_01312,3.1547,6.186,161.66,510,3.3146,13.2306,745.82,42,1,0,1,1,510
seq_01313,3.15,6.176,161.59,509,3.2414,10.4352,745.82,42,1,0,1,1,510
seq_01314,3.1489,6.174,161.96,510,2.7446,8.1525,745.82,42,1,0,1,1,510
seq_01315,3.1515,6.179,161.83,510,2.433,11.0087,745.82,42,1,0,1,1,510
seq_01316,3.1588,6.194,161.45,510,2.7512,10.2685,745.82,42,1,0,1,1,510
seq_01317,3.1917,6.258,159.79,510,3.3354,13.3154,745.82,42,1,0,1,1,510
seq_01318,3.1457,6.168,162.13,510,2.7445,9.1897,745.82,42,1,0,1,1,510
seq_01319,3.1455,6.168,162.13,510,2.6784,10.2366,745.82,42,1,0,1,1,510
seq_01320,3.1526,6.182,161.77,510,6.0641,20.403,745.82,42,1,0,1,1,510
seq_01321,3.1479,6.172,162.01,510,2.5927,9.456,745.82,42,1,0,1,1,510
seq_01322,3.1454,6.167,162.14,510,2.6276,11.7017,745.82,42,1,0,1,1,510
seq_01323,3.1541,6.184,161.7,510,3.0688,10.6658,745.82,42,1,0,1,1,510
seq_01324,3.1541,6.185,161.69,510,2.7832,13.1581,745.82,42,1,0,1,1,510
seq_01325,3.1504,6.177,161.88,510,2.9299,11.3093,745.82,42,1,0,1,1,510
seq_01326,3.1484,6.173,161.03,507,4.3783,17.8847,745.82,42,1,0,1,1,510
seq_01327,3.1527,6.182,161.76,510,2.6137,12.2707,745.82,42,1,0,1,1,510
seq_01328,3.1486,6.174,161.97,510,2.9676,11.888,745.82,42,1,0,1,1,510
seq_01329,3.1398,6.157,162.11,509,5.689,14.2485,745.82,42,1,0,1,1,510
seq_01330,3.1584,6.193,161.47,510,2.826,8.0968,745.82,42,1,0,1,1,510
seq_01331,3.1461,6.169,162.1,510,4.0961,10.1228,745.82,42,1,0,1,1,510
seq_01332,3.1499,6.176,161.91,510,3.1123,13.7022,745.82,42,1,0,1,1,510
seq_01333,3.1471,6.171,162.06,510,3.3373,10.5791,745.82,42,1,0,1,1,510
seq_01334,3.1445,6.166,162.19,510,4.5387,12.8772,745.82,42,1,0,1,1,510
seq_01335,3.1467,6.17,162.08,510,2.7661,9.8758,745.82,42,1,0,1,1,510
seq_01336,3.1718,6.219,160.79,510,3.2751,11.6702,745.82,42,1,0,1,1,510
seq_01337,3.1441,6.165,162.21,510,2.8724,9.7834,745.82,42,1,0,1,1,510
seq_01338,3.1496,6.176,161.92,510,2.6532,10.4413,745.82,42,1,0,1,1,510
seq_01339,3.1501,6.177,161.9,510,2.6038,12.0161,745.82,42,1,0,1,1,510
seq_01340,3.1523,6.181,161.79,510,2.5762,9.0855,745.82,42,1,0,1,1,510
seq_01341,3.1417,6.16,162.33,510,2.6585,8.7138,745.82,42,1,0,1,1,510
seq_01342,3.1508,6.178,161.86,510,2.7052,10.5705,745.82,42,1,0,1,1,510
seq_01343,3.147,6.171,162.06,510,2.8574,10.7517,745.82,42,1,0,1,1,510
seq_01344,3.1539,6.184,161.71,510,5.1119,17.1575,745.82,42,1,0,1,1,510
seq_01345,3.1361,6.149,161.98,508,5.8498,17.4661,745.82,42,1,0,1,1,510
seq_01346,3.1553,6.187,161.63,510,3.0215,11.892,745.82,42,1,0,1,1,510
seq_01347,3.147,6.171,162.06,510,5.2647,16.5954,745.82,42,1,0,1,1,510
seq_01348,3.1561,6.188,161.59,510,2.7952,10.2664,745.82,42,1,0,1,1,510
seq_01349,3.143,6.163,162.26,510,2.7082,11.2249,745.82,42,1,0,1,1,510
seq_01350,3.147,6.171,162.06,510,3.4176,16.2916,745.82,42,1,0,1,1,510
seq_01351,3.1462,6.169,162.1,510,3.1687,10.6134,745.82,42,1,0,1,1,510
seq_01352,3.1634,6.203,161.22,510,3.1169,11.9849,745.82,42,1,0,1,1,510
