model,sequence_id,length,aa_L1_divergence,kmer3_JSD,kmer5_JSD,shannon_entropy,hydrophobicity,net_charge,molecular_weight,repetitive_content,low_complexity_fraction,motif_VAIK,motif_HRD,motif_DFG,motif_APE,motif_GxGxxG
esm,seq_00024,510,0.34287621074174507,0.836715893515021,0.9990911940719006,4.284455804664286,-0.5190196078431374,0.050980392156862744,69729,0.003937007874015748,0.0,0,1,0,0,0
esm,seq_00025,510,0.32559472871884065,0.8408054770420573,0.999026209631974,4.298902727013843,-0.43549019607843137,0.050980392156862744,68961,0.003937007874015748,0.0,0,0,0,0,0
esm,seq_00026,510,0.35437326132530467,0.8374984838547349,0.9989656893612393,4.290954881708147,-0.5964705882352941,0.049019607843137254,69484,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00027,510,0.3668196741461502,0.841777533007692,0.9991250643857167,4.2933347624583105,-0.6901960784313725,0.041176470588235294,70562,0.0,0.0,0,0,0,0,0
esm,seq_00028,510,0.42938327384677377,0.8507286897254456,0.9991544088377075,4.286123092846599,-0.6956862745098039,0.049019607843137254,70085,0.0,0.0,0,0,0,0,0
esm,seq_00029,510,0.37128408842664756,0.8497622000802312,0.9991247932089183,4.302624248756873,-0.31117647058823533,0.056862745098039215,70279,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00030,510,0.41733195525997513,0.8471899391128097,0.9990363186460937,4.297464501715293,-0.2388235294117647,0.023529411764705882,70273,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00031,510,0.3548375603557258,0.8444842281537808,0.9992144319380879,4.289861174010774,-0.5823529411764706,0.021568627450980392,70205,0.0,0.0,0,0,0,0,0
esm,seq_00032,510,0.2930902925490415,0.832389579915199,0.9991247387730655,4.2929921900686905,-0.503921568627451,0.00196078431372549,68947,0.005905511811023622,0.0,0,0,0,0,0
esm,seq_00033,510,0.36082361783403216,0.8482921779710475,0.9993364364020921,4.293388635666098,-0.4719607843137255,0.03725490196078431,68846,0.003937007874015748,0.0,0,0,0,0,0
esm,seq_00034,510,0.3726535522482525,0.8525360744257077,0.9992708959215588,4.301955899343533,-0.47705882352941176,0.06862745098039216,69520,0.0,0.0,0,0,0,0,0
esm,seq_00035,510,0.32076327990219344,0.8321535505341354,0.9991403710925161,4.293919225278003,-0.36921568627450985,0.027450980392156862,68883,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00036,510,0.2432420065448903,0.8239524351281837,0.9986958980592884,4.2766234333496165,-0.6790196078431372,0.00980392156862745,67549,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00037,510,0.3502944831075143,0.8418731531777823,0.9990378790869295,4.309218785544782,-0.6033333333333334,0.050980392156862744,69617,0.0,0.0,0,0,0,0,0
esm,seq_00038,510,0.35476927263240476,0.8439856729047154,0.9990824443758275,4.302842731616315,-0.4076470588235294,0.041176470588235294,69114,0.0,0.0,1,0,0,0,0
esm,seq_00039,510,0.35788691722745,0.8382496881086051,0.9992118260858789,4.294593166250153,-0.4790196078431373,0.049019607843137254,69187,0.0,0.0,0,0,0,0,0
esm,seq_00040,510,0.35794955194821904,0.8419948661339104,0.9991764164625279,4.3025635753336555,-0.3394117647058824,0.047058823529411764,69169,0.005905511811023622,0.0,0,0,0,0,0
esm,seq_00041,510,0.34717683851246917,0.8409144130330213,0.9991709080130913,4.295124776338443,-0.6378431372549019,0.045098039215686274,69290,0.003937007874015748,0.0,0,0,0,0,0
esm,seq_00042,510,0.34372166312703845,0.8475694914287446,0.9990565598487477,4.306492050821016,-0.39705882352941174,0.043137254901960784,69510,0.003937007874015748,0.0,0,0,0,0,0
esm,seq_00043,510,0.33908299812260084,0.8235751951152742,0.9989960422631157,4.282626032207058,-0.4143137254901961,0.023529411764705882,68273,0.0,0.0,0,0,0,0,0
esm,seq_00044,510,0.42143576820335255,0.8459088757251023,0.9988634681626538,4.291054525939131,-0.5043137254901962,0.08823529411764706,70169,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00045,510,0.3551748995189062,0.8427497380605157,0.9987867537033703,4.296521353451376,-0.5435294117647059,0.11372549019607843,69918,0.001968503937007874,0.0,0,0,0,0,0
esm,seq_00046,510,0.36884204607484516,0.8415628541387471,0.9990083893108362,4.286705176291917,-0.5380392156862746,0.058823529411764705,70334,0.003937007874015748,0.0,0,0,0,0,0
esm,seq_00047,510,0.40010453264040935,0.8402616358034138,0.9988229411104201,4.288898350363818,-0.413921568627451,0.0784313725490196,70325,0.007874015748031496,0.0,0,0,0,0,0
esm,seq_00048,510,0.3048661744037519,0.8390924706658104,0.9988513700439399,4.298788753245577,-0.5790196078431373,0.058823529411764705,69328,0.0,0.0,0,0,0,0,0
